sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,48,0,0,91,clustered_dist,non-random_sampling,1685,333,755,0,204,0,1241,248,488,0,76,0,27,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,41,0,0,40,0,0,81,clustered_dist,non-random_sampling,1692,337,761,0,199,0,1242,251,488,0,76,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,40,0,0,83,clustered_dist,non-random_sampling,1692,339,762,0,198,0,1236,248,488,0,76,0,26,9,1,0.015
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,41,0,0,86,clustered_dist,non-random_sampling,1696,337,763,0,198,0,1248,248,488,0,78,0,31,11,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,41,0,0,48,0,0,89,clustered_dist,non-random_sampling,1687,336,759,0,196,0,1246,249,488,0,76,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,48,0,0,95,clustered_dist,non-random_sampling,1684,335,757,0,203,0,1237,246,488,0,76,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,45,0,0,88,clustered_dist,non-random_sampling,1682,338,760,0,206,0,1243,248,488,0,77,0,24,9,1,0.015
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,40,0,0,90,clustered_dist,non-random_sampling,1686,340,760,0,202,0,1243,245,488,0,70,0,33,18,1,0.031
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,35,0,0,82,clustered_dist,non-random_sampling,1685,336,759,0,201,0,1232,244,488,0,75,0,33,10,1,0.017
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,51,0,0,90,clustered_dist,non-random_sampling,1687,337,763,0,205,0,1247,251,488,0,76,0,46,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,46,0,0,42,0,0,88,clustered_dist,non-random_sampling,1686,335,761,0,204,0,1239,247,488,0,74,0,18,11,1,0.019
Franklin County,4305,3099,4458,6448,3256,4234,37,0,0,43,0,0,80,clustered_dist,non-random_sampling,1685,336,763,0,203,0,1239,247,488,0,77,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,47,0,0,43,0,0,90,clustered_dist,non-random_sampling,1691,336,759,0,203,0,1238,245,488,0,79,0,27,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,45,0,0,84,clustered_dist,non-random_sampling,1687,337,753,0,201,0,1237,247,488,0,76,0,12,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,50,0,0,95,clustered_dist,non-random_sampling,1682,334,754,0,201,0,1235,247,488,0,74,0,23,0,0,0
