sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,30,0,0,63,clustered_dist,non-random_sampling,1687,845,757,0,206,0,1250,624,488,0,78,0,22,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,35,0,0,68,clustered_dist,non-random_sampling,1692,849,762,0,204,0,1236,618,488,0,73,0,12,12,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,28,0,0,58,clustered_dist,non-random_sampling,1687,845,757,0,201,0,1238,618,488,0,78,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,27,0,0,28,0,0,55,clustered_dist,non-random_sampling,1694,846,764,0,198,0,1232,619,488,0,74,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,27,0,0,62,clustered_dist,non-random_sampling,1688,844,763,0,201,0,1242,622,488,0,77,0,36,36,1,0.025
Franklin County,4305,3099,4458,6448,3256,4234,46,0,0,27,0,0,73,clustered_dist,non-random_sampling,1688,843,763,0,203,0,1244,625,488,0,78,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,33,0,0,62,clustered_dist,non-random_sampling,1685,843,765,0,199,0,1232,616,488,0,77,0,20,8,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,26,0,0,62,clustered_dist,non-random_sampling,1690,843,758,0,208,0,1244,619,488,0,73,0,17,6,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,37,0,0,69,clustered_dist,non-random_sampling,1693,850,762,0,202,0,1244,620,488,0,74,0,13,13,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,35,0,0,68,clustered_dist,non-random_sampling,1691,844,751,0,206,0,1241,620,488,0,75,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,34,0,0,68,clustered_dist,non-random_sampling,1690,843,761,0,201,0,1244,626,488,0,77,0,13,13,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,34,0,0,72,clustered_dist,non-random_sampling,1690,843,757,0,201,0,1231,618,488,0,78,0,32,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,41,0,0,73,clustered_dist,non-random_sampling,1694,847,762,0,198,0,1245,624,488,0,75,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,37,0,0,40,0,0,77,clustered_dist,non-random_sampling,1694,846,757,0,205,0,1239,617,488,0,78,0,11,9,1,0.006
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,clustered_dist,non-random_sampling,1691,845,761,0,196,0,1242,618,488,0,78,0,11,11,1,0.008
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,36,0,0,69,clustered_dist,non-random_sampling,1692,843,761,0,208,0,1242,622,488,0,73,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,29,0,0,61,clustered_dist,non-random_sampling,1683,837,758,0,203,0,1248,621,488,0,77,0,9,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,28,0,0,28,0,0,56,clustered_dist,non-random_sampling,1683,841,761,0,207,0,1238,619,488,0,77,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,35,0,0,68,clustered_dist,non-random_sampling,1693,848,757,0,199,0,1242,621,488,0,76,0,16,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,30,0,0,63,clustered_dist,non-random_sampling,1687,845,765,0,202,0,1252,627,488,0,73,0,14,14,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,29,0,0,64,clustered_dist,non-random_sampling,1689,842,762,0,206,0,1245,625,488,0,78,0,20,20,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,32,0,0,71,clustered_dist,non-random_sampling,1687,846,759,0,203,0,1238,619,488,0,76,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,42,0,0,33,0,0,75,clustered_dist,non-random_sampling,1690,844,760,0,206,0,1237,619,488,0,74,0,18,17,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,38,0,0,71,clustered_dist,non-random_sampling,1690,843,756,0,201,0,1244,623,488,0,75,0,30,30,1,0.02
Franklin County,4305,3099,4458,6448,3256,4234,25,0,0,25,0,0,50,clustered_dist,non-random_sampling,1691,839,761,0,200,0,1245,621,488,0,75,0,12,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,35,0,0,74,clustered_dist,non-random_sampling,1688,840,759,0,198,0,1241,622,488,0,75,0,15,15,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,31,0,0,65,clustered_dist,non-random_sampling,1688,845,763,0,195,0,1232,619,488,0,75,0,21,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,28,0,0,29,0,0,57,clustered_dist,non-random_sampling,1685,841,759,0,209,0,1234,613,488,0,76,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,36,0,0,70,clustered_dist,non-random_sampling,1697,849,759,0,197,0,1236,614,488,0,77,0,19,7,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,37,0,0,80,clustered_dist,non-random_sampling,1680,841,760,0,205,0,1240,619,488,0,71,0,39,5,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,30,0,0,66,clustered_dist,non-random_sampling,1692,842,760,0,205,0,1232,615,488,0,77,0,6,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,31,0,0,62,clustered_dist,non-random_sampling,1685,842,762,0,201,0,1237,621,488,0,77,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,31,0,0,65,clustered_dist,non-random_sampling,1688,842,760,0,207,0,1240,622,488,0,76,0,19,15,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,33,0,0,64,clustered_dist,non-random_sampling,1690,848,764,0,201,0,1236,620,488,0,80,0,23,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,36,0,0,66,clustered_dist,non-random_sampling,1689,847,761,0,202,0,1236,615,488,0,75,0,14,14,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,40,0,0,72,clustered_dist,non-random_sampling,1679,840,760,0,205,0,1233,617,488,0,73,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,33,0,0,62,clustered_dist,non-random_sampling,1688,841,757,0,205,0,1240,620,488,0,74,0,23,23,1,0.016
Franklin County,4305,3099,4458,6448,3256,4234,28,0,0,39,0,0,67,clustered_dist,non-random_sampling,1691,846,759,0,201,0,1236,619,488,0,77,0,10,10,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,clustered_dist,non-random_sampling,1690,846,761,0,206,0,1248,622,488,0,76,0,22,22,1,0.015
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,34,0,0,63,clustered_dist,non-random_sampling,1678,833,759,0,198,0,1243,618,488,0,74,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,37,0,0,80,clustered_dist,non-random_sampling,1686,843,759,0,196,0,1236,614,488,0,73,0,30,30,1,0.021
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,29,0,0,59,clustered_dist,non-random_sampling,1692,845,761,0,205,0,1235,617,488,0,74,0,19,19,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,32,0,0,68,clustered_dist,non-random_sampling,1690,844,762,0,201,0,1238,623,488,0,77,0,20,7,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,29,0,0,68,clustered_dist,non-random_sampling,1688,842,761,0,197,0,1244,621,488,0,76,0,23,2,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,38,0,0,72,clustered_dist,non-random_sampling,1692,843,762,0,203,0,1237,622,488,0,76,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,33,0,0,66,clustered_dist,non-random_sampling,1689,843,765,0,202,0,1241,618,488,0,78,0,22,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,33,0,0,63,clustered_dist,non-random_sampling,1693,846,760,0,199,0,1247,625,488,0,77,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,31,0,0,63,clustered_dist,non-random_sampling,1690,845,754,0,202,0,1244,622,488,0,74,0,15,15,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,37,0,0,40,0,0,77,clustered_dist,non-random_sampling,1689,846,758,0,201,0,1234,617,488,0,79,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,34,0,0,65,clustered_dist,non-random_sampling,1692,847,762,0,199,0,1238,620,488,0,79,0,19,6,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,37,0,0,77,clustered_dist,non-random_sampling,1689,844,755,0,205,0,1235,616,488,0,72,0,12,12,1,0.008
