sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,32,0,0,65,clustered_dist,non-random_sampling,1686,171,758,0,201,0,1248,126,488,0,77,0,22,2,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,37,0,0,72,clustered_dist,non-random_sampling,1687,172,760,0,203,0,1236,126,488,0,76,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,39,0,0,70,clustered_dist,non-random_sampling,1692,169,758,0,201,0,1241,124,488,0,76,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,36,0,0,72,clustered_dist,non-random_sampling,1682,171,758,0,206,0,1239,125,488,0,76,0,9,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,39,0,0,70,clustered_dist,non-random_sampling,1692,170,756,0,195,0,1234,122,488,0,76,0,15,1,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,26,0,0,29,0,0,55,clustered_dist,non-random_sampling,1687,172,755,0,200,0,1244,127,488,0,75,0,5,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,34,0,0,67,clustered_dist,non-random_sampling,1688,171,759,0,198,0,1236,123,488,0,74,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,34,0,0,74,clustered_dist,non-random_sampling,1693,170,760,0,205,0,1245,128,488,0,79,0,28,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,31,0,0,66,clustered_dist,non-random_sampling,1679,171,761,0,202,0,1243,126,488,0,75,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,35,0,0,66,clustered_dist,non-random_sampling,1691,171,760,0,203,0,1238,126,488,0,73,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,31,0,0,63,clustered_dist,non-random_sampling,1693,172,757,0,204,0,1241,123,488,0,76,0,20,5,1,0.017
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,35,0,0,71,clustered_dist,non-random_sampling,1688,171,760,0,205,0,1240,123,488,0,74,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,27,0,0,32,0,0,59,clustered_dist,non-random_sampling,1688,169,760,0,200,0,1238,124,488,0,73,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,29,0,0,60,clustered_dist,non-random_sampling,1693,168,760,0,204,0,1233,124,488,0,79,0,11,11,1,0.038
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,35,0,0,68,clustered_dist,non-random_sampling,1684,171,762,0,201,0,1245,127,488,0,80,0,9,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,36,0,0,71,clustered_dist,non-random_sampling,1679,168,762,0,203,0,1234,126,488,0,76,0,27,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,36,0,0,71,clustered_dist,non-random_sampling,1687,168,763,0,201,0,1237,125,488,0,77,0,17,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,33,0,0,68,clustered_dist,non-random_sampling,1695,172,756,0,201,0,1241,126,488,0,74,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,28,0,0,26,0,0,54,clustered_dist,non-random_sampling,1686,169,761,0,202,0,1246,125,488,0,76,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,33,0,0,67,clustered_dist,non-random_sampling,1694,172,762,0,203,0,1239,127,488,0,74,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,39,0,0,68,clustered_dist,non-random_sampling,1679,164,755,0,194,0,1242,128,488,0,75,0,20,2,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,27,0,0,31,0,0,58,clustered_dist,non-random_sampling,1693,171,758,0,199,0,1236,127,488,0,79,0,22,4,1,0.013
Franklin County,4305,3099,4458,6448,3256,4234,26,0,0,30,0,0,56,clustered_dist,non-random_sampling,1689,169,758,0,205,0,1241,124,488,0,72,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,30,0,0,70,clustered_dist,non-random_sampling,1687,169,763,0,200,0,1245,125,488,0,76,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,33,0,0,69,clustered_dist,non-random_sampling,1692,172,763,0,204,0,1234,126,488,0,78,0,30,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,24,0,0,34,0,0,58,clustered_dist,non-random_sampling,1689,171,757,0,200,0,1244,127,488,0,75,0,12,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,33,0,0,67,clustered_dist,non-random_sampling,1687,170,761,0,205,0,1229,125,488,0,73,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,41,0,0,32,0,0,73,clustered_dist,non-random_sampling,1685,170,763,0,202,0,1246,126,488,0,75,0,22,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,28,0,0,67,clustered_dist,non-random_sampling,1683,172,758,0,208,0,1237,123,488,0,73,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,37,0,0,34,0,0,71,clustered_dist,non-random_sampling,1697,171,761,0,204,0,1250,126,488,0,76,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,41,0,0,40,0,0,81,clustered_dist,non-random_sampling,1693,171,760,0,201,0,1239,128,488,0,74,0,20,15,1,0.05
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,33,0,0,64,clustered_dist,non-random_sampling,1695,172,760,0,197,0,1248,125,488,0,77,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,43,0,0,73,clustered_dist,non-random_sampling,1683,170,762,0,201,0,1241,126,488,0,73,0,33,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,28,0,0,66,clustered_dist,non-random_sampling,1678,170,759,0,206,0,1249,126,488,0,78,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,39,0,0,68,clustered_dist,non-random_sampling,1681,169,762,0,202,0,1239,126,488,0,78,0,10,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,33,0,0,63,clustered_dist,non-random_sampling,1692,172,755,0,197,0,1247,126,488,0,75,0,38,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,31,0,0,64,clustered_dist,non-random_sampling,1687,169,759,0,200,0,1236,127,488,0,75,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,32,0,0,66,clustered_dist,non-random_sampling,1689,168,756,0,206,0,1239,124,488,0,76,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,33,0,0,65,clustered_dist,non-random_sampling,1679,171,757,0,203,0,1234,126,488,0,77,0,28,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,34,0,0,68,clustered_dist,non-random_sampling,1688,171,761,0,205,0,1235,126,488,0,78,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,32,0,0,64,clustered_dist,non-random_sampling,1688,167,757,0,198,0,1248,127,488,0,76,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,34,0,0,72,clustered_dist,non-random_sampling,1687,171,757,0,195,0,1239,127,488,0,74,0,24,18,1,0.06
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,38,0,0,68,clustered_dist,non-random_sampling,1686,171,765,0,198,0,1242,125,488,0,75,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,28,0,0,64,clustered_dist,non-random_sampling,1692,170,761,0,206,0,1242,125,488,0,75,0,8,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,22,0,0,55,clustered_dist,non-random_sampling,1687,171,759,0,203,0,1234,125,488,0,75,0,30,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,28,0,0,26,0,0,54,clustered_dist,non-random_sampling,1684,169,765,0,202,0,1241,125,488,0,77,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,28,0,0,63,clustered_dist,non-random_sampling,1691,171,756,0,202,0,1243,126,488,0,78,0,23,7,1,0.024
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,35,0,0,71,clustered_dist,non-random_sampling,1685,171,760,0,195,0,1248,126,488,0,78,0,21,20,1,0.067
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,23,0,0,61,clustered_dist,non-random_sampling,1697,171,758,0,204,0,1236,126,488,0,75,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,27,0,0,24,0,0,51,clustered_dist,non-random_sampling,1679,169,756,0,199,0,1234,128,488,0,76,0,10,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,33,0,0,73,clustered_dist,non-random_sampling,1688,171,756,0,207,0,1244,126,488,0,75,0,39,23,1,0.077
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,33,0,0,64,clustered_dist,non-random_sampling,1690,171,756,0,201,0,1239,126,488,0,77,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,27,0,0,58,clustered_dist,non-random_sampling,1686,169,758,0,207,0,1246,126,488,0,78,0,19,3,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,36,0,0,71,clustered_dist,non-random_sampling,1691,171,756,0,203,0,1243,127,488,0,75,0,26,19,1,0.064
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,37,0,0,68,clustered_dist,non-random_sampling,1687,172,762,0,206,0,1237,124,488,0,79,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,28,0,0,34,0,0,62,clustered_dist,non-random_sampling,1684,169,759,0,206,0,1237,125,488,0,75,0,16,4,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,33,0,0,66,clustered_dist,non-random_sampling,1685,169,757,0,206,0,1241,126,488,0,76,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,26,0,0,36,0,0,62,clustered_dist,non-random_sampling,1685,171,754,0,201,0,1240,126,488,0,77,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,37,0,0,33,0,0,70,clustered_dist,non-random_sampling,1685,169,758,0,203,0,1230,125,488,0,73,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,42,0,0,34,0,0,76,clustered_dist,non-random_sampling,1692,170,755,0,204,0,1239,127,488,0,75,0,23,12,1,0.04
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,30,0,0,64,clustered_dist,non-random_sampling,1686,170,762,0,202,0,1241,128,488,0,77,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,35,0,0,70,clustered_dist,non-random_sampling,1676,169,755,0,196,0,1246,127,488,0,76,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,33,0,0,65,clustered_dist,non-random_sampling,1694,169,757,0,199,0,1244,125,488,0,76,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,41,0,0,34,0,0,75,clustered_dist,non-random_sampling,1688,169,758,0,197,0,1234,126,488,0,75,0,19,1,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,25,0,0,59,clustered_dist,non-random_sampling,1687,170,758,0,196,0,1243,127,488,0,76,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,38,0,0,73,clustered_dist,non-random_sampling,1684,172,759,0,200,0,1246,128,488,0,79,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,28,0,0,57,clustered_dist,non-random_sampling,1693,172,762,0,208,0,1233,127,488,0,74,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,30,0,0,63,clustered_dist,non-random_sampling,1688,170,760,0,203,0,1239,126,488,0,74,0,32,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,35,0,0,71,clustered_dist,non-random_sampling,1687,170,759,0,206,0,1237,127,488,0,74,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,23,0,0,57,clustered_dist,non-random_sampling,1692,171,759,0,201,0,1240,123,488,0,78,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,24,0,0,55,clustered_dist,non-random_sampling,1681,169,760,0,204,0,1239,126,488,0,74,0,16,16,1,0.054
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,27,0,0,62,clustered_dist,non-random_sampling,1691,171,761,0,203,0,1241,124,488,0,77,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,30,0,0,63,clustered_dist,non-random_sampling,1691,172,761,0,201,0,1235,124,488,0,77,0,17,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,34,0,0,65,clustered_dist,non-random_sampling,1685,172,759,0,201,0,1238,123,488,0,77,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,37,0,0,80,clustered_dist,non-random_sampling,1690,170,758,0,207,0,1245,125,488,0,76,0,26,3,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,31,0,0,61,clustered_dist,non-random_sampling,1683,172,758,0,204,0,1230,126,488,0,78,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,35,0,0,65,clustered_dist,non-random_sampling,1684,169,763,0,202,0,1238,126,488,0,76,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,34,0,0,64,clustered_dist,non-random_sampling,1687,170,755,0,198,0,1240,127,488,0,75,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,32,0,0,63,clustered_dist,non-random_sampling,1682,170,757,0,196,0,1236,122,488,0,77,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,35,0,0,70,clustered_dist,non-random_sampling,1694,172,758,0,205,0,1233,124,488,0,77,0,13,6,1,0.02
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,35,0,0,71,clustered_dist,non-random_sampling,1691,171,759,0,196,0,1242,124,488,0,73,0,35,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,32,0,0,63,clustered_dist,non-random_sampling,1685,169,757,0,198,0,1237,123,488,0,77,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,29,0,0,31,0,0,60,clustered_dist,non-random_sampling,1690,170,756,0,200,0,1237,128,488,0,77,0,27,2,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,34,0,0,70,clustered_dist,non-random_sampling,1689,170,759,0,205,0,1235,128,488,0,76,0,13,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,37,0,0,82,clustered_dist,non-random_sampling,1691,172,761,0,201,0,1243,124,488,0,78,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,28,0,0,72,clustered_dist,non-random_sampling,1693,171,759,0,205,0,1240,123,488,0,80,0,33,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,34,0,0,70,clustered_dist,non-random_sampling,1692,171,758,0,200,0,1241,126,488,0,76,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,33,0,0,67,clustered_dist,non-random_sampling,1689,170,761,0,204,0,1238,126,488,0,74,0,16,1,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,30,0,0,60,clustered_dist,non-random_sampling,1686,171,761,0,206,0,1244,125,488,0,80,0,19,1,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,33,0,0,30,0,0,63,clustered_dist,non-random_sampling,1684,170,763,0,201,0,1244,123,488,0,76,0,16,4,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,30,0,0,28,0,0,58,clustered_dist,non-random_sampling,1692,172,756,0,203,0,1237,127,488,0,78,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,32,0,0,71,clustered_dist,non-random_sampling,1690,170,763,0,201,0,1227,125,488,0,78,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,34,0,0,69,clustered_dist,non-random_sampling,1687,169,756,0,196,0,1236,125,488,0,75,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,33,0,0,71,clustered_dist,non-random_sampling,1688,172,761,0,201,0,1231,126,488,0,75,0,24,8,1,0.027
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,31,0,0,65,clustered_dist,non-random_sampling,1683,170,759,0,200,0,1229,126,488,0,78,0,21,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,27,0,0,63,clustered_dist,non-random_sampling,1690,169,765,0,199,0,1244,126,488,0,78,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,35,0,0,35,0,0,70,clustered_dist,non-random_sampling,1688,171,758,0,200,0,1241,126,488,0,78,0,22,14,1,0.047
Franklin County,4305,3099,4458,6448,3256,4234,36,0,0,39,0,0,75,clustered_dist,non-random_sampling,1690,170,761,0,198,0,1236,122,488,0,74,0,17,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,27,0,0,34,0,0,61,clustered_dist,non-random_sampling,1688,167,763,0,194,0,1241,125,488,0,74,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,39,0,0,79,clustered_dist,non-random_sampling,1690,170,763,0,199,0,1240,125,488,0,75,0,20,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,35,0,0,67,clustered_dist,non-random_sampling,1688,170,757,0,203,0,1231,122,488,0,77,0,27,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,34,0,0,36,0,0,70,clustered_dist,non-random_sampling,1687,170,758,0,207,0,1248,123,488,0,77,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,31,0,0,44,0,0,75,clustered_dist,non-random_sampling,1689,172,759,0,197,0,1236,123,488,0,77,0,20,15,1,0.051
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,27,0,0,66,clustered_dist,non-random_sampling,1684,169,751,0,207,0,1237,125,488,0,74,0,21,0,0,0
