pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio
26478,0.41,0.24,0.34,1.22
26897,0.41,0.24,0.34,1.22
27096,0.41,0.25,0.34,1.19
27309,0.42,0.24,0.34,1.18
27252,0.42,0.25,0.33,1.16
27038,0.42,0.24,0.34,1.13
26713,0.42,0.24,0.33,1.15
26472,0.42,0.24,0.34,1.18
26397,0.42,0.24,0.34,1.19
26413,0.42,0.24,0.34,1.19
26628,0.42,0.24,0.34,1.2
26801,0.42,0.24,0.34,1.17
26660,0.42,0.25,0.34,1.18
26434,0.42,0.24,0.34,1.18
26360,0.42,0.24,0.34,1.16
26388,0.42,0.24,0.34,1.18
21875,0.48,0.15,0.37,1.08
20714,0.41,0.28,0.31,1.1
20963,0.44,0.22,0.34,1.12
20609,0.42,0.25,0.33,1.14
21437,0.44,0.23,0.33,1.17
22415,0.43,0.23,0.34,1.22
22962,0.43,0.24,0.34,1.22
23448,0.42,0.24,0.34,1.25
24024,0.42,0.24,0.34,1.24
24436,0.41,0.24,0.35,1.21
24702,0.41,0.25,0.34,1.2
24920,0.42,0.24,0.34,1.2
24786,0.42,0.24,0.34,1.2
24647,0.42,0.24,0.34,1.21
24909,0.41,0.24,0.34,1.18
24962,0.41,0.25,0.34,1.17
24756,0.42,0.24,0.34,1.17
24513,0.42,0.25,0.34,1.16
24453,0.42,0.25,0.34,1.17
24487,0.42,0.24,0.34,1.17
24210,0.42,0.25,0.34,1.16
23992,0.42,0.24,0.33,1.16
23986,0.42,0.24,0.34,1.19
24072,0.42,0.24,0.34,1.21
24197,0.42,0.24,0.34,1.21
24265,0.41,0.24,0.35,1.22
21855,0.48,0.15,0.37,1.07
20783,0.4,0.28,0.32,1.1
20740,0.43,0.23,0.34,1.13
20242,0.42,0.25,0.33,1.15
21609,0.44,0.22,0.34,1.19
22773,0.43,0.23,0.34,1.22
23605,0.42,0.24,0.34,1.22
24258,0.42,0.24,0.34,1.22
24469,0.42,0.24,0.34,1.24
24801,0.42,0.24,0.34,1.23
25033,0.42,0.24,0.34,1.21
25322,0.42,0.24,0.34,1.21
25390,0.41,0.25,0.34,1.21
25621,0.42,0.24,0.34,1.19
25765,0.41,0.24,0.34,1.19
25684,0.41,0.25,0.34,1.19
25645,0.42,0.24,0.34,1.2
25726,0.42,0.24,0.34,1.2
25755,0.42,0.24,0.34,1.2
25833,0.42,0.24,0.34,1.19
25974,0.41,0.25,0.34,1.16
25958,0.42,0.25,0.34,1.17
25878,0.42,0.24,0.34,1.15
25725,0.42,0.25,0.34,1.16
25545,0.42,0.24,0.34,1.18
25465,0.42,0.24,0.34,1.17
21980,0.48,0.14,0.38,1.08
20867,0.4,0.28,0.31,1.12
20865,0.43,0.23,0.34,1.14
20575,0.42,0.24,0.33,1.16
21488,0.44,0.23,0.33,1.18
22645,0.43,0.23,0.34,1.2
23520,0.42,0.24,0.34,1.19
24088,0.42,0.24,0.33,1.22
24569,0.42,0.24,0.34,1.22
24806,0.41,0.25,0.34,1.22
25362,0.42,0.24,0.34,1.2
25668,0.42,0.24,0.34,1.2
25771,0.41,0.24,0.34,1.2
26046,0.42,0.24,0.34,1.18
26252,0.42,0.24,0.34,1.18
26403,0.42,0.24,0.33,1.17
26599,0.42,0.24,0.34,1.17
26472,0.42,0.24,0.34,1.18
26578,0.42,0.24,0.34,1.15
26534,0.42,0.24,0.34,1.14
26435,0.42,0.24,0.34,1.15
26272,0.42,0.25,0.34,1.15
26169,0.42,0.25,0.33,1.18
26113,0.42,0.24,0.34,1.19
26161,0.42,0.24,0.34,1.18
26196,0.42,0.24,0.34,1.19
21873,0.48,0.15,0.37,1.08
20997,0.41,0.28,0.32,1.13
21051,0.43,0.23,0.33,1.15
20895,0.42,0.25,0.34,1.17
22526,0.44,0.23,0.33,1.21
24039,0.43,0.23,0.34,1.25
24834,0.42,0.24,0.34,1.21
25500,0.42,0.24,0.34,1.21
25854,0.42,0.25,0.34,1.2
26322,0.42,0.24,0.34,1.2
26631,0.41,0.25,0.34,1.19
26614,0.42,0.24,0.34,1.17
26641,0.42,0.24,0.34,1.17
26607,0.41,0.25,0.34,1.16
26745,0.42,0.25,0.33,1.17
26767,0.42,0.24,0.34,1.16
26773,0.42,0.24,0.34,1.15
26571,0.42,0.24,0.33,1.14
26725,0.42,0.24,0.34,1.16
26841,0.42,0.24,0.34,1.16
26636,0.42,0.24,0.34,1.18
26709,0.42,0.24,0.34,1.19
26733,0.42,0.24,0.34,1.18
26574,0.42,0.25,0.34,1.2
26600,0.42,0.24,0.34,1.2
26541,0.42,0.24,0.34,1.19
21697,0.48,0.15,0.37,1.07
20530,0.41,0.28,0.31,1.1
20283,0.44,0.23,0.34,1.14
20061,0.42,0.24,0.33,1.15
20987,0.44,0.23,0.33,1.19
22430,0.43,0.22,0.34,1.23
23400,0.42,0.24,0.34,1.24
24264,0.42,0.24,0.34,1.23
24836,0.42,0.24,0.34,1.21
25351,0.42,0.24,0.34,1.2
25651,0.41,0.25,0.34,1.22
25831,0.42,0.24,0.34,1.18
25608,0.42,0.25,0.34,1.18
25498,0.42,0.24,0.34,1.18
25164,0.42,0.25,0.34,1.16
25098,0.42,0.24,0.34,1.17
25182,0.42,0.24,0.34,1.17
24966,0.42,0.25,0.33,1.16
24873,0.42,0.24,0.34,1.16
24880,0.42,0.24,0.34,1.15
24791,0.42,0.25,0.33,1.15
24780,0.42,0.24,0.34,1.17
24656,0.42,0.24,0.34,1.16
24353,0.42,0.25,0.33,1.16
24198,0.42,0.24,0.34,1.17
23979,0.42,0.25,0.33,1.17
21715,0.48,0.15,0.38,1.1
20605,0.4,0.29,0.32,1.13
20624,0.43,0.23,0.34,1.14
20331,0.42,0.25,0.33,1.15
21374,0.44,0.23,0.33,1.2
22500,0.43,0.23,0.34,1.24
23209,0.42,0.24,0.34,1.22
23974,0.42,0.24,0.34,1.24
24603,0.41,0.24,0.35,1.21
24855,0.41,0.25,0.34,1.19
25202,0.42,0.24,0.34,1.19
25083,0.42,0.25,0.34,1.17
25239,0.42,0.24,0.34,1.17
25097,0.42,0.25,0.34,1.17
24793,0.42,0.24,0.34,1.2
24971,0.42,0.24,0.34,1.19
25129,0.42,0.24,0.34,1.19
25078,0.42,0.25,0.34,1.21
25393,0.41,0.25,0.34,1.19
25458,0.42,0.24,0.34,1.19
25475,0.42,0.24,0.34,1.19
25527,0.42,0.24,0.34,1.2
25488,0.42,0.24,0.34,1.2
25599,0.42,0.24,0.34,1.18
25822,0.42,0.25,0.34,1.16
25408,0.42,0.24,0.33,1.15
21679,0.48,0.15,0.37,1.09
20659,0.4,0.29,0.31,1.11
20705,0.43,0.23,0.34,1.14
20452,0.42,0.25,0.33,1.14
21392,0.44,0.23,0.33,1.15
21848,0.43,0.23,0.34,1.18
22532,0.42,0.24,0.34,1.2
23071,0.42,0.24,0.34,1.21
23590,0.42,0.24,0.35,1.2
23846,0.41,0.25,0.34,1.19
24105,0.42,0.24,0.34,1.2
24364,0.41,0.25,0.34,1.21
24414,0.41,0.25,0.34,1.19
24629,0.42,0.24,0.34,1.18
24584,0.42,0.25,0.34,1.17
24724,0.42,0.24,0.34,1.2
24588,0.42,0.24,0.34,1.21
24549,0.42,0.24,0.34,1.19
24402,0.42,0.24,0.34,1.18
24537,0.42,0.24,0.34,1.19
24204,0.42,0.25,0.34,1.18
24112,0.42,0.24,0.34,1.2
24198,0.42,0.24,0.34,1.19
24297,0.42,0.24,0.34,1.18
24304,0.41,0.24,0.34,1.17
24320,0.42,0.25,0.34,1.16
21575,0.48,0.15,0.37,1.08
20614,0.41,0.27,0.32,1.11
20416,0.43,0.23,0.34,1.12
