pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio
25363,0.42,0.24,0.34,1.2
21619,0.48,0.15,0.37,1.08
20405,0.4,0.28,0.32,1.11
20477,0.44,0.23,0.34,1.13
20326,0.42,0.25,0.33,1.14
21379,0.44,0.23,0.33,1.21
22376,0.43,0.23,0.34,1.24
23480,0.42,0.23,0.35,1.25
24088,0.41,0.24,0.35,1.24
24753,0.41,0.24,0.34,1.24
25221,0.41,0.24,0.34,1.21
25460,0.42,0.25,0.34,1.2
25594,0.42,0.24,0.34,1.18
25655,0.42,0.24,0.34,1.18
25600,0.42,0.24,0.34,1.18
25483,0.42,0.24,0.33,1.19
25419,0.42,0.24,0.34,1.19
25433,0.42,0.24,0.34,1.22
25332,0.41,0.24,0.34,1.19
25195,0.42,0.24,0.34,1.19
25173,0.42,0.24,0.34,1.19
25222,0.42,0.24,0.34,1.19
25255,0.42,0.24,0.34,1.19
25208,0.42,0.24,0.34,1.17
25090,0.41,0.25,0.34,1.17
25111,0.42,0.25,0.34,1.19
25152,0.42,0.24,0.34,1.19
21665,0.48,0.15,0.37,1.07
20524,0.41,0.28,0.31,1.11
20401,0.43,0.23,0.34,1.14
20068,0.42,0.25,0.33,1.15
21061,0.44,0.23,0.33,1.2
21971,0.43,0.23,0.34,1.23
23106,0.42,0.23,0.34,1.22
23544,0.42,0.24,0.34,1.21
24005,0.42,0.24,0.34,1.21
24262,0.41,0.24,0.34,1.19
24643,0.42,0.24,0.34,1.19
24653,0.42,0.25,0.34,1.17
24870,0.42,0.24,0.34,1.18
24822,0.42,0.24,0.34,1.2
25120,0.42,0.24,0.34,1.19
25083,0.42,0.25,0.34,1.19
24767,0.42,0.25,0.33,1.18
24928,0.42,0.24,0.34,1.2
24865,0.42,0.25,0.34,1.21
25055,0.41,0.24,0.34,1.2
25053,0.41,0.25,0.34,1.19
24953,0.42,0.24,0.34,1.17
25036,0.42,0.25,0.34,1.19
24864,0.42,0.25,0.34,1.17
24920,0.42,0.24,0.34,1.17
24836,0.42,0.25,0.33,1.2
21406,0.48,0.15,0.37,1.06
20165,0.41,0.28,0.31,1.09
20075,0.44,0.22,0.34,1.14
19806,0.42,0.25,0.33,1.17
21119,0.44,0.23,0.33,1.21
22050,0.43,0.23,0.34,1.21
22622,0.42,0.24,0.34,1.2
23114,0.42,0.24,0.34,1.22
23320,0.42,0.24,0.34,1.22
23786,0.42,0.24,0.34,1.19
23870,0.42,0.24,0.34,1.2
24030,0.42,0.24,0.34,1.21
24365,0.41,0.24,0.34,1.2
24373,0.41,0.25,0.34,1.18
24395,0.42,0.24,0.34,1.17
24213,0.42,0.24,0.34,1.16
24170,0.42,0.25,0.34,1.17
24013,0.42,0.24,0.34,1.16
24118,0.42,0.24,0.34,1.18
24108,0.42,0.25,0.34,1.18
23927,0.42,0.25,0.34,1.17
23976,0.42,0.24,0.34,1.17
23874,0.42,0.24,0.34,1.19
23627,0.42,0.24,0.34,1.19
23840,0.42,0.24,0.34,1.19
23808,0.42,0.25,0.34,1.19
21671,0.48,0.15,0.37,1.09
20721,0.4,0.28,0.32,1.13
20765,0.43,0.23,0.34,1.16
20411,0.42,0.25,0.33,1.17
21664,0.44,0.22,0.34,1.21
23059,0.43,0.23,0.34,1.24
23996,0.42,0.24,0.34,1.24
25040,0.42,0.24,0.34,1.22
25627,0.42,0.24,0.34,1.21
26260,0.42,0.24,0.34,1.2
26667,0.42,0.24,0.34,1.18
26952,0.41,0.25,0.34,1.19
27098,0.42,0.24,0.34,1.2
27278,0.41,0.25,0.34,1.2
27363,0.42,0.24,0.34,1.2
27381,0.42,0.25,0.34,1.17
27401,0.42,0.24,0.34,1.17
27221,0.42,0.24,0.34,1.18
27248,0.42,0.24,0.34,1.18
27097,0.42,0.25,0.34,1.17
27228,0.42,0.24,0.34,1.18
27342,0.42,0.24,0.34,1.19
27388,0.42,0.24,0.34,1.2
27473,0.42,0.24,0.34,1.19
27598,0.42,0.24,0.34,1.18
27478,0.42,0.25,0.34,1.18
21567,0.49,0.15,0.36,1.06
20691,0.41,0.27,0.32,1.12
20590,0.43,0.23,0.34,1.15
20379,0.42,0.25,0.33,1.17
21796,0.44,0.23,0.33,1.21
22873,0.43,0.23,0.34,1.22
23735,0.42,0.24,0.34,1.23
24482,0.42,0.24,0.34,1.23
25040,0.41,0.24,0.34,1.22
25371,0.41,0.25,0.34,1.2
25448,0.41,0.25,0.34,1.21
25635,0.42,0.24,0.34,1.21
25870,0.41,0.25,0.34,1.21
26193,0.42,0.24,0.34,1.22
26008,0.41,0.25,0.34,1.19
26200,0.42,0.24,0.34,1.19
26142,0.42,0.25,0.34,1.17
26267,0.42,0.24,0.34,1.16
26188,0.42,0.24,0.34,1.16
26213,0.42,0.24,0.33,1.18
26117,0.42,0.24,0.34,1.17
26003,0.42,0.25,0.34,1.17
26179,0.42,0.24,0.34,1.18
26321,0.42,0.24,0.34,1.19
26138,0.42,0.25,0.33,1.17
26061,0.42,0.24,0.34,1.18
21700,0.48,0.15,0.37,1.1
20768,0.4,0.28,0.32,1.15
20723,0.43,0.23,0.34,1.18
20411,0.42,0.25,0.33,1.19
21617,0.44,0.22,0.34,1.22
22732,0.42,0.23,0.35,1.24
23734,0.42,0.24,0.34,1.24
24015,0.42,0.24,0.34,1.23
24639,0.42,0.24,0.35,1.22
25029,0.41,0.25,0.34,1.19
25142,0.41,0.24,0.34,1.2
25135,0.41,0.25,0.34,1.18
25257,0.42,0.24,0.34,1.18
25252,0.42,0.24,0.34,1.18
25144,0.42,0.25,0.34,1.19
25325,0.42,0.24,0.34,1.2
25443,0.41,0.24,0.34,1.18
25312,0.42,0.25,0.34,1.18
25171,0.42,0.24,0.34,1.18
25113,0.42,0.24,0.34,1.17
25181,0.42,0.24,0.34,1.16
25108,0.42,0.25,0.34,1.18
25100,0.42,0.24,0.34,1.18
25066,0.42,0.24,0.34,1.17
25037,0.42,0.25,0.34,1.18
24915,0.42,0.25,0.34,1.18
21648,0.48,0.15,0.37,1.07
20674,0.41,0.28,0.32,1.11
20598,0.43,0.23,0.34,1.15
20556,0.42,0.24,0.34,1.18
21947,0.44,0.23,0.33,1.22
23467,0.43,0.22,0.35,1.25
24013,0.41,0.25,0.34,1.23
24585,0.42,0.24,0.34,1.22
25056,0.42,0.24,0.34,1.21
25526,0.42,0.24,0.34,1.22
25736,0.42,0.24,0.34,1.2
25797,0.42,0.25,0.33,1.21
25921,0.42,0.24,0.34,1.19
26012,0.42,0.24,0.34,1.2
26002,0.41,0.25,0.34,1.17
25694,0.42,0.25,0.33,1.17
25493,0.42,0.24,0.34,1.19
25396,0.42,0.24,0.34,1.2
25449,0.42,0.25,0.34,1.17
25558,0.42,0.24,0.34,1.16
25214,0.42,0.25,0.33,1.17
25202,0.42,0.24,0.34,1.2
25117,0.42,0.24,0.34,1.19
25236,0.41,0.24,0.34,1.18
25182,0.41,0.25,0.34,1.19
25178,0.42,0.24,0.34,1.19
21620,0.48,0.15,0.37,1.09
20625,0.41,0.28,0.31,1.11
20658,0.43,0.23,0.34,1.15
20513,0.42,0.25,0.34,1.19
21588,0.44,0.23,0.33,1.21
22998,0.43,0.22,0.34,1.24
23804,0.42,0.24,0.34,1.25
24474,0.42,0.24,0.34,1.25
25085,0.42,0.24,0.34,1.22
25323,0.41,0.24,0.34,1.21
25402,0.41,0.25,0.34,1.21
25667,0.41,0.24,0.34,1.21
25962,0.41,0.25,0.34,1.21
25913,0.42,0.25,0.34,1.22
25972,0.42,0.24,0.34,1.22
26205,0.41,0.25,0.34,1.21
26087,0.42,0.24,0.34,1.2
25982,0.42,0.25,0.34,1.18
26057,0.42,0.24,0.34,1.17
26147,0.42,0.24,0.34,1.18
25844,0.42,0.24,0.33,1.18
25905,0.42,0.24,0.34,1.2
25826,0.41,0.25,0.34,1.18
26012,0.42,0.24,0.34,1.21
26142,0.42,0.24,0.34,1.21
26027,0.42,0.25,0.34,1.21
21932,0.48,0.14,0.37,1.08
21061,0.4,0.28,0.32,1.11
21050,0.43,0.23,0.33,1.11
20855,0.43,0.24,0.33,1.13
22039,0.44,0.23,0.33,1.21
23525,0.43,0.23,0.34,1.23
24329,0.42,0.24,0.34,1.24
25137,0.42,0.24,0.34,1.24
25718,0.41,0.24,0.35,1.22
26104,0.42,0.24,0.34,1.21
26593,0.42,0.24,0.34,1.2
26685,0.41,0.25,0.34,1.21
26695,0.42,0.24,0.34,1.19
26794,0.42,0.24,0.34,1.18
26780,0.42,0.24,0.34,1.17
26687,0.42,0.25,0.34,1.17
26524,0.42,0.24,0.34,1.17
26355,0.42,0.25,0.34,1.18
26328,0.42,0.24,0.34,1.19
26440,0.42,0.24,0.34,1.18
26653,0.42,0.24,0.34,1.18
26618,0.42,0.25,0.33,1.17
26752,0.42,0.24,0.34,1.19
27016,0.42,0.24,0.34,1.17
26904,0.42,0.25,0.34,1.17
26796,0.42,0.24,0.34,1.15
21460,0.48,0.15,0.37,1.08
20497,0.41,0.28,0.32,1.12
20556,0.43,0.23,0.34,1.15
20179,0.42,0.25,0.33,1.16
21587,0.44,0.23,0.34,1.19
22909,0.43,0.23,0.34,1.22
23692,0.42,0.24,0.34,1.21
24195,0.42,0.24,0.34,1.23
24388,0.42,0.24,0.34,1.22
24758,0.42,0.24,0.34,1.22
25097,0.41,0.24,0.34,1.21
25003,0.42,0.24,0.34,1.2
25285,0.42,0.24,0.34,1.19
25252,0.41,0.25,0.34,1.18
25126,0.42,0.24,0.34,1.16
25179,0.42,0.24,0.34,1.18
25346,0.42,0.24,0.34,1.17
25383,0.42,0.24,0.34,1.17
25184,0.42,0.25,0.33,1.17
25373,0.42,0.24,0.34,1.17
25517,0.42,0.25,0.34,1.16
25345,0.42,0.24,0.33,1.15
25120,0.42,0.24,0.34,1.14
24954,0.42,0.24,0.33,1.14
24868,0.42,0.24,0.34,1.15
24742,0.42,0.25,0.33,1.16
21755,0.48,0.15,0.37,1.08
20739,0.41,0.28,0.31,1.13
20851,0.43,0.23,0.34,1.15
20477,0.42,0.25,0.33,1.17
21811,0.44,0.22,0.34,1.21
23064,0.43,0.23,0.34,1.22
23782,0.42,0.24,0.34,1.22
24661,0.42,0.24,0.34,1.2
25098,0.41,0.24,0.34,1.22
25312,0.41,0.25,0.34,1.21
25535,0.42,0.24,0.34,1.2
25912,0.42,0.24,0.34,1.21
26128,0.41,0.25,0.34,1.21
26432,0.41,0.25,0.34,1.2
26519,0.42,0.25,0.34,1.19
26704,0.42,0.24,0.34,1.2
26739,0.41,0.24,0.34,1.18
26681,0.42,0.25,0.34,1.19
26633,0.42,0.25,0.34,1.18
26788,0.41,0.25,0.34,1.18
26847,0.42,0.24,0.34,1.19
26948,0.41,0.24,0.34,1.18
26898,0.42,0.25,0.34,1.18
26875,0.42,0.24,0.34,1.19
26868,0.42,0.24,0.34,1.19
26791,0.41,0.25,0.33,1.18
21846,0.48,0.15,0.38,1.09
20974,0.4,0.28,0.32,1.13
21059,0.43,0.23,0.34,1.14
20671,0.42,0.25,0.33,1.14
21923,0.44,0.23,0.33,1.2
23379,0.44,0.22,0.35,1.25
24342,0.42,0.24,0.35,1.24
25090,0.41,0.24,0.34,1.22
25482,0.42,0.24,0.34,1.22
26023,0.42,0.24,0.34,1.2
26349,0.41,0.25,0.34,1.18
26520,0.42,0.25,0.34,1.18
26527,0.42,0.24,0.34,1.19
26580,0.42,0.24,0.34,1.18
26547,0.42,0.25,0.33,1.18
26379,0.42,0.24,0.34,1.18
26445,0.42,0.24,0.34,1.18
26434,0.42,0.25,0.34,1.18
26321,0.42,0.24,0.34,1.18
26352,0.42,0.24,0.34,1.18
26112,0.42,0.24,0.34,1.19
26312,0.41,0.24,0.34,1.18
26280,0.41,0.25,0.34,1.17
26202,0.42,0.24,0.34,1.19
26101,0.42,0.25,0.33,1.19
26169,0.42,0.24,0.34,1.17
21589,0.48,0.15,0.37,1.06
20499,0.41,0.28,0.31,1.1
20430,0.44,0.22,0.34,1.15
20199,0.42,0.25,0.33,1.15
21514,0.44,0.22,0.33,1.2
22561,0.43,0.23,0.34,1.23
23660,0.42,0.24,0.34,1.21
24360,0.42,0.24,0.34,1.21
24474,0.42,0.25,0.34,1.19
24845,0.42,0.24,0.34,1.18
24830,0.42,0.25,0.33,1.17
24628,0.42,0.24,0.34,1.18
24549,0.42,0.24,0.34,1.18
24434,0.42,0.25,0.34,1.17
24584,0.42,0.24,0.34,1.19
24539,0.42,0.24,0.34,1.19
24504,0.42,0.24,0.34,1.19
24394,0.42,0.25,0.34,1.17
24537,0.42,0.24,0.34,1.18
24488,0.41,0.25,0.34,1.16
24219,0.42,0.25,0.34,1.18
24091,0.42,0.24,0.34,1.19
23914,0.42,0.25,0.33,1.2
24092,0.42,0.24,0.34,1.22
24044,0.42,0.24,0.34,1.23
24096,0.41,0.24,0.34,1.22
21864,0.48,0.15,0.37,1.08
20762,0.41,0.28,0.32,1.13
20708,0.43,0.23,0.34,1.16
20616,0.42,0.25,0.33,1.17
21342,0.44,0.23,0.33,1.17
22355,0.43,0.23,0.34,1.2
23129,0.42,0.24,0.34,1.22
23602,0.42,0.24,0.34,1.21
24017,0.42,0.24,0.34,1.21
23880,0.42,0.24,0.34,1.2
23896,0.42,0.24,0.34,1.19
23979,0.42,0.24,0.34,1.17
24336,0.41,0.25,0.34,1.16
24229,0.42,0.25,0.33,1.17
24030,0.42,0.24,0.34,1.18
24221,0.42,0.24,0.34,1.19
24161,0.42,0.24,0.34,1.18
24270,0.42,0.25,0.34,1.2
24271,0.42,0.24,0.34,1.21
24353,0.42,0.24,0.34,1.2
24341,0.42,0.24,0.34,1.19
24324,0.42,0.24,0.34,1.19
24391,0.42,0.25,0.34,1.19
24445,0.42,0.24,0.34,1.19
24424,0.42,0.24,0.34,1.19
24311,0.41,0.25,0.34,1.18
21547,0.49,0.15,0.37,1.1
20563,0.41,0.28,0.31,1.15
20569,0.43,0.23,0.34,1.16
20590,0.42,0.25,0.34,1.15
21888,0.43,0.23,0.34,1.21
22927,0.43,0.23,0.34,1.24
23837,0.42,0.23,0.34,1.24
24664,0.41,0.24,0.35,1.22
25378,0.41,0.24,0.35,1.24
25691,0.42,0.24,0.34,1.23
26162,0.41,0.24,0.34,1.24
26375,0.41,0.25,0.34,1.21
26337,0.42,0.25,0.34,1.2
26433,0.41,0.24,0.34,1.18
26381,0.41,0.25,0.34,1.18
26226,0.42,0.24,0.34,1.17
26092,0.42,0.25,0.34,1.17
26066,0.42,0.24,0.34,1.17
25966,0.42,0.24,0.34,1.17
25840,0.42,0.25,0.33,1.15
25810,0.42,0.24,0.34,1.17
25450,0.42,0.24,0.34,1.16
25458,0.42,0.24,0.34,1.18
25708,0.42,0.24,0.34,1.18
25672,0.42,0.24,0.34,1.17
25613,0.42,0.24,0.34,1.16
21935,0.48,0.15,0.37,1.09
20857,0.4,0.28,0.31,1.11
20759,0.44,0.23,0.34,1.13
20365,0.42,0.25,0.33,1.16
21522,0.44,0.23,0.34,1.18
22363,0.43,0.23,0.34,1.21
23395,0.42,0.23,0.34,1.22
24165,0.42,0.24,0.34,1.22
24816,0.41,0.24,0.35,1.23
25106,0.41,0.25,0.34,1.23
25522,0.41,0.24,0.34,1.21
25692,0.42,0.24,0.34,1.21
25683,0.42,0.24,0.34,1.2
25824,0.41,0.25,0.34,1.19
25986,0.41,0.24,0.34,1.18
25583,0.41,0.25,0.33,1.18
25688,0.42,0.24,0.34,1.18
25510,0.42,0.25,0.33,1.18
25263,0.42,0.24,0.34,1.17
25176,0.42,0.24,0.34,1.17
25079,0.42,0.25,0.33,1.17
25006,0.42,0.24,0.34,1.18
25243,0.41,0.25,0.34,1.18
25296,0.42,0.25,0.34,1.18
25381,0.42,0.24,0.34,1.17
25366,0.42,0.25,0.33,1.17
21711,0.48,0.15,0.37,1.07
20856,0.41,0.28,0.32,1.11
20641,0.43,0.23,0.34,1.14
20286,0.42,0.25,0.33,1.14
21669,0.44,0.22,0.33,1.23
23094,0.43,0.22,0.34,1.25
24269,0.42,0.24,0.35,1.25
25124,0.42,0.24,0.34,1.25
25967,0.41,0.24,0.35,1.26
26273,0.41,0.25,0.34,1.22
26876,0.41,0.24,0.35,1.21
27126,0.41,0.25,0.34,1.19
27271,0.42,0.24,0.34,1.17
27251,0.42,0.24,0.34,1.17
27317,0.42,0.24,0.34,1.19
27214,0.42,0.24,0.34,1.2
27245,0.41,0.25,0.34,1.19
27149,0.42,0.24,0.34,1.19
27215,0.42,0.24,0.34,1.17
27376,0.42,0.25,0.34,1.2
27796,0.42,0.24,0.34,1.21
27923,0.41,0.24,0.34,1.2
28056,0.41,0.25,0.33,1.19
28136,0.42,0.24,0.34,1.17
28103,0.42,0.24,0.34,1.18
27879,0.42,0.24,0.34,1.2
21682,0.48,0.15,0.37,1.1
20555,0.41,0.28,0.31,1.14
20469,0.43,0.23,0.34,1.17
20329,0.42,0.25,0.34,1.19
21602,0.44,0.23,0.34,1.2
22740,0.43,0.23,0.34,1.23
23595,0.42,0.24,0.34,1.23
24081,0.42,0.24,0.34,1.24
24747,0.42,0.24,0.34,1.22
25192,0.41,0.24,0.34,1.18
25202,0.42,0.25,0.34,1.18
25498,0.42,0.24,0.34,1.18
25526,0.42,0.25,0.34,1.18
25465,0.42,0.24,0.33,1.16
25102,0.42,0.24,0.33,1.16
25016,0.42,0.24,0.34,1.16
24758,0.42,0.24,0.34,1.17
24782,0.42,0.24,0.34,1.18
24657,0.42,0.25,0.34,1.2
24686,0.42,0.24,0.34,1.19
24507,0.42,0.25,0.33,1.2
24509,0.42,0.24,0.34,1.21
24404,0.41,0.25,0.34,1.19
24713,0.42,0.24,0.34,1.2
24813,0.41,0.24,0.34,1.2
25172,0.42,0.24,0.34,1.19
21591,0.48,0.16,0.36,1.07
20485,0.41,0.28,0.32,1.09
20414,0.44,0.23,0.34,1.14
20108,0.42,0.25,0.33,1.16
21250,0.44,0.23,0.34,1.23
22631,0.43,0.22,0.34,1.25
23671,0.42,0.24,0.35,1.26
24494,0.42,0.24,0.34,1.23
25189,0.42,0.24,0.34,1.21
25434,0.41,0.25,0.34,1.21
25908,0.42,0.24,0.34,1.2
26140,0.42,0.24,0.34,1.2
26310,0.42,0.24,0.34,1.18
26260,0.42,0.24,0.34,1.21
26175,0.42,0.24,0.34,1.21
26183,0.41,0.25,0.34,1.19
26376,0.42,0.24,0.34,1.19
26236,0.42,0.25,0.34,1.18
26329,0.42,0.24,0.34,1.18
26245,0.42,0.24,0.34,1.18
26240,0.42,0.24,0.34,1.19
26394,0.42,0.24,0.34,1.19
26257,0.42,0.25,0.34,1.19
26295,0.42,0.24,0.34,1.2
26411,0.42,0.24,0.34,1.21
26478,0.41,0.25,0.34,1.19
21598,0.48,0.15,0.36,1.06
20525,0.41,0.28,0.32,1.11
20378,0.44,0.23,0.33,1.13
20034,0.42,0.25,0.33,1.17
21199,0.44,0.23,0.34,1.18
22201,0.43,0.23,0.34,1.21
23148,0.43,0.24,0.34,1.23
23848,0.41,0.24,0.35,1.23
24244,0.41,0.25,0.34,1.22
24833,0.41,0.24,0.34,1.19
25073,0.42,0.24,0.34,1.2
25064,0.42,0.25,0.34,1.2
25155,0.42,0.24,0.33,1.18
25176,0.42,0.24,0.34,1.18
25141,0.41,0.25,0.34,1.17
25196,0.42,0.25,0.34,1.18
25264,0.42,0.24,0.34,1.18
25095,0.42,0.24,0.34,1.16
24890,0.42,0.24,0.34,1.16
24663,0.42,0.24,0.34,1.17
24650,0.41,0.24,0.34,1.17
24485,0.42,0.25,0.34,1.16
24181,0.42,0.25,0.33,1.17
24338,0.42,0.24,0.34,1.2
24249,0.41,0.25,0.34,1.18
24213,0.42,0.25,0.34,1.17
21430,0.49,0.15,0.36,1.08
20353,0.41,0.27,0.31,1.11
20215,0.43,0.23,0.34,1.15
20266,0.42,0.25,0.34,1.18
21399,0.44,0.23,0.33,1.22
22776,0.43,0.23,0.35,1.25
23890,0.42,0.24,0.35,1.25
24615,0.42,0.24,0.34,1.25
24995,0.41,0.24,0.35,1.26
25551,0.41,0.25,0.34,1.24
25827,0.42,0.25,0.34,1.22
26209,0.41,0.24,0.34,1.21
26306,0.41,0.25,0.34,1.2
26493,0.41,0.25,0.34,1.18
26509,0.41,0.25,0.34,1.17
26207,0.42,0.25,0.33,1.15
25988,0.42,0.24,0.34,1.16
25847,0.42,0.24,0.34,1.16
25648,0.42,0.24,0.34,1.18
25599,0.42,0.24,0.34,1.19
25627,0.42,0.25,0.34,1.17
25454,0.42,0.24,0.34,1.19
25609,0.42,0.24,0.34,1.2
25441,0.42,0.24,0.34,1.18
25472,0.42,0.25,0.34,1.17
25303,0.42,0.25,0.33,1.16
21531,0.49,0.15,0.36,1.07
20285,0.41,0.27,0.32,1.13
20321,0.43,0.23,0.34,1.17
20007,0.42,0.25,0.33,1.19
21308,0.44,0.23,0.33,1.22
22298,0.43,0.23,0.34,1.23
23175,0.42,0.23,0.35,1.23
23837,0.41,0.24,0.34,1.23
24315,0.41,0.24,0.35,1.24
24822,0.41,0.24,0.34,1.23
25226,0.41,0.25,0.34,1.2
25577,0.41,0.24,0.34,1.18
25247,0.42,0.25,0.33,1.18
25479,0.42,0.24,0.34,1.18
25384,0.42,0.25,0.33,1.17
25293,0.42,0.24,0.34,1.17
25071,0.42,0.24,0.34,1.18
25033,0.42,0.24,0.34,1.19
25043,0.42,0.25,0.34,1.18
25092,0.42,0.24,0.34,1.19
25271,0.42,0.24,0.34,1.2
25159,0.41,0.25,0.34,1.21
25254,0.42,0.24,0.34,1.19
25439,0.41,0.24,0.34,1.19
25470,0.41,0.24,0.34,1.17
25473,0.41,0.24,0.34,1.18
21785,0.48,0.15,0.37,1.1
20657,0.4,0.28,0.32,1.15
20580,0.43,0.23,0.34,1.18
20419,0.41,0.25,0.34,1.17
21578,0.43,0.23,0.33,1.21
22825,0.43,0.23,0.34,1.23
23783,0.42,0.24,0.34,1.24
24202,0.42,0.24,0.34,1.22
24930,0.42,0.24,0.34,1.22
25487,0.41,0.24,0.34,1.19
25657,0.42,0.25,0.34,1.2
25838,0.42,0.24,0.34,1.18
25918,0.42,0.24,0.34,1.17
26084,0.41,0.25,0.34,1.18
26019,0.42,0.24,0.34,1.18
25914,0.42,0.24,0.33,1.16
25774,0.42,0.24,0.34,1.16
25757,0.42,0.24,0.33,1.18
25829,0.42,0.24,0.34,1.19
26047,0.41,0.24,0.34,1.21
25998,0.42,0.24,0.34,1.18
26167,0.42,0.25,0.34,1.18
26006,0.42,0.24,0.34,1.16
25913,0.42,0.25,0.34,1.16
25898,0.42,0.24,0.34,1.17
25840,0.42,0.24,0.34,1.19
21728,0.48,0.15,0.37,1.1
20834,0.41,0.28,0.31,1.11
20886,0.43,0.23,0.34,1.13
20645,0.42,0.25,0.33,1.15
21814,0.44,0.22,0.34,1.23
23057,0.43,0.23,0.34,1.25
24004,0.42,0.24,0.34,1.25
24555,0.41,0.24,0.34,1.24
25121,0.41,0.24,0.34,1.23
25457,0.41,0.25,0.34,1.22
25611,0.42,0.25,0.34,1.2
25657,0.42,0.24,0.34,1.18
25683,0.41,0.25,0.34,1.2
25731,0.42,0.25,0.34,1.19
25820,0.42,0.24,0.34,1.18
25778,0.42,0.24,0.34,1.18
25736,0.42,0.24,0.34,1.16
25492,0.42,0.24,0.34,1.16
25351,0.42,0.25,0.34,1.17
25310,0.42,0.24,0.34,1.17
25185,0.42,0.25,0.34,1.16
25123,0.42,0.24,0.34,1.16
24891,0.42,0.25,0.33,1.17
24706,0.42,0.24,0.34,1.17
24640,0.42,0.24,0.34,1.19
24662,0.42,0.24,0.34,1.19
21543,0.49,0.15,0.37,1.08
20720,0.41,0.27,0.32,1.12
20755,0.43,0.23,0.34,1.13
20636,0.42,0.25,0.33,1.15
21823,0.44,0.23,0.34,1.21
22834,0.43,0.23,0.34,1.24
23771,0.42,0.24,0.34,1.27
24436,0.42,0.24,0.34,1.24
25031,0.41,0.24,0.34,1.25
25322,0.41,0.24,0.34,1.22
25804,0.41,0.24,0.34,1.22
26040,0.42,0.24,0.34,1.2
26112,0.42,0.24,0.34,1.18
26242,0.42,0.24,0.34,1.18
26376,0.41,0.25,0.34,1.17
26308,0.42,0.24,0.34,1.21
26337,0.42,0.25,0.34,1.19
26378,0.42,0.24,0.34,1.18
26445,0.41,0.25,0.34,1.16
26297,0.42,0.24,0.34,1.17
26222,0.42,0.24,0.34,1.17
26009,0.42,0.25,0.33,1.16
25764,0.42,0.24,0.34,1.15
25734,0.42,0.25,0.34,1.18
25645,0.42,0.24,0.34,1.19
25700,0.42,0.24,0.34,1.17
21543,0.49,0.15,0.37,1.08
20375,0.41,0.28,0.31,1.12
20327,0.44,0.23,0.34,1.15
20146,0.42,0.24,0.34,1.16
21422,0.44,0.23,0.33,1.21
22639,0.43,0.22,0.35,1.25
23390,0.42,0.24,0.34,1.22
24108,0.42,0.24,0.35,1.24
24180,0.42,0.25,0.34,1.22
24665,0.42,0.24,0.34,1.22
25020,0.41,0.25,0.34,1.21
25366,0.41,0.24,0.34,1.18
25409,0.41,0.25,0.34,1.18
25372,0.42,0.25,0.34,1.18
25315,0.42,0.24,0.34,1.17
25435,0.42,0.24,0.34,1.17
25433,0.42,0.24,0.34,1.18
25282,0.42,0.25,0.33,1.16
25380,0.42,0.24,0.35,1.18
25212,0.41,0.25,0.34,1.18
25342,0.42,0.24,0.34,1.18
25171,0.42,0.25,0.33,1.2
25130,0.42,0.24,0.34,1.2
25252,0.42,0.24,0.34,1.19
25110,0.41,0.25,0.34,1.18
25103,0.42,0.24,0.34,1.18
21691,0.48,0.15,0.37,1.07
20643,0.4,0.28,0.32,1.1
20533,0.43,0.23,0.34,1.12
20262,0.42,0.25,0.33,1.13
21337,0.44,0.23,0.33,1.19
22218,0.43,0.23,0.34,1.2
22973,0.42,0.24,0.34,1.21
23669,0.42,0.24,0.34,1.22
24143,0.41,0.24,0.35,1.21
24140,0.41,0.25,0.34,1.2
24337,0.41,0.24,0.34,1.2
24377,0.41,0.25,0.34,1.2
24356,0.42,0.24,0.34,1.17
24085,0.42,0.24,0.34,1.17
24082,0.42,0.25,0.34,1.2
23988,0.42,0.24,0.34,1.19
24115,0.42,0.25,0.34,1.17
24302,0.42,0.24,0.34,1.16
24210,0.42,0.25,0.34,1.16
23951,0.42,0.24,0.34,1.18
23865,0.42,0.25,0.33,1.17
23722,0.42,0.24,0.34,1.18
23730,0.42,0.24,0.34,1.18
23531,0.42,0.25,0.33,1.17
23823,0.42,0.24,0.34,1.16
23729,0.42,0.25,0.33,1.16
21785,0.48,0.15,0.37,1.07
20852,0.4,0.28,0.32,1.11
20712,0.43,0.23,0.34,1.15
20573,0.42,0.24,0.34,1.17
22023,0.44,0.23,0.34,1.22
22944,0.43,0.23,0.34,1.24
23550,0.42,0.24,0.34,1.22
24304,0.42,0.24,0.34,1.24
24813,0.41,0.24,0.34,1.22
25411,0.41,0.24,0.35,1.21
25631,0.41,0.25,0.34,1.22
25765,0.41,0.25,0.34,1.22
26002,0.42,0.24,0.34,1.22
26195,0.41,0.24,0.34,1.22
26312,0.42,0.25,0.34,1.2
26480,0.42,0.24,0.34,1.18
26513,0.41,0.25,0.34,1.18
26818,0.42,0.24,0.34,1.17
26771,0.41,0.25,0.34,1.16
26647,0.42,0.24,0.34,1.16
26452,0.42,0.25,0.33,1.14
26455,0.42,0.24,0.34,1.15
26035,0.42,0.25,0.33,1.15
26059,0.42,0.24,0.34,1.19
25971,0.42,0.24,0.34,1.18
25961,0.42,0.24,0.34,1.18
21829,0.48,0.15,0.37,1.11
20609,0.4,0.28,0.31,1.12
20557,0.43,0.23,0.34,1.12
20157,0.42,0.24,0.33,1.14
21406,0.44,0.23,0.34,1.18
