sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,9,0,0,14,0,0,23,clustered_dist,non-random_sampling,1689,675,757,0,205,0,1244,502,488,0,74,0,7,7,1,0.006
Franklin County,4305,3099,4458,6448,3256,4234,11,0,0,12,0,0,23,clustered_dist,non-random_sampling,1690,676,755,0,197,0,1245,501,488,0,78,0,19,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,10,0,0,14,0,0,24,clustered_dist,non-random_sampling,1684,674,759,0,200,0,1236,494,488,0,73,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,13,0,0,9,0,0,22,clustered_dist,non-random_sampling,1694,682,761,0,196,0,1241,498,488,0,79,0,2,2,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,8,0,0,13,0,0,21,clustered_dist,non-random_sampling,1686,678,763,0,201,0,1235,499,488,0,76,0,1,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,10,0,0,12,0,0,22,clustered_dist,non-random_sampling,1693,677,758,0,201,0,1241,501,488,0,74,0,5,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,9,0,0,13,0,0,22,clustered_dist,non-random_sampling,1691,679,758,0,201,0,1229,494,488,0,78,0,7,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,10,0,0,13,0,0,23,clustered_dist,non-random_sampling,1686,675,765,0,199,0,1236,497,488,0,74,0,5,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,10,0,0,8,0,0,18,clustered_dist,non-random_sampling,1689,675,760,0,201,0,1236,497,488,0,73,0,5,5,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,12,0,0,10,0,0,22,clustered_dist,non-random_sampling,1690,678,759,0,199,0,1247,503,488,0,74,0,1,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,13,0,0,12,0,0,25,clustered_dist,non-random_sampling,1693,678,759,0,206,0,1237,497,488,0,76,0,10,5,1,0.004
Franklin County,4305,3099,4458,6448,3256,4234,14,0,0,12,0,0,26,clustered_dist,non-random_sampling,1692,680,763,0,197,0,1243,500,488,0,77,0,9,0,0,0
