sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,18,0,0,22,0,0,40,clustered_dist,non-random_sampling,1693,507,761,0,198,0,1241,368,488,0,73,0,9,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,21,0,0,23,0,0,44,clustered_dist,non-random_sampling,1695,510,763,0,199,0,1239,371,488,0,74,0,15,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,23,0,0,22,0,0,45,clustered_dist,non-random_sampling,1690,506,758,0,203,0,1230,369,488,0,77,0,6,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,15,0,0,21,0,0,36,clustered_dist,non-random_sampling,1691,505,755,0,204,0,1240,371,488,0,73,0,8,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,22,0,0,19,0,0,41,clustered_dist,non-random_sampling,1686,504,757,0,196,0,1242,373,488,0,78,0,7,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,18,0,0,26,0,0,44,clustered_dist,non-random_sampling,1688,506,752,0,203,0,1238,373,488,0,78,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,20,0,0,18,0,0,38,clustered_dist,non-random_sampling,1684,507,756,0,202,0,1236,372,488,0,77,0,14,14,1,0.016
Franklin County,4305,3099,4458,6448,3256,4234,21,0,0,24,0,0,45,clustered_dist,non-random_sampling,1684,505,759,0,205,0,1241,371,488,0,69,0,8,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,16,0,0,26,0,0,42,clustered_dist,non-random_sampling,1688,506,764,0,198,0,1233,373,488,0,75,0,15,15,1,0.017
Franklin County,4305,3099,4458,6448,3256,4234,20,0,0,22,0,0,42,clustered_dist,non-random_sampling,1679,502,754,0,195,0,1236,374,488,0,77,0,12,10,1,0.011
Franklin County,4305,3099,4458,6448,3256,4234,21,0,0,16,0,0,37,clustered_dist,non-random_sampling,1690,509,759,0,206,0,1242,372,488,0,74,0,5,5,1,0.006
Franklin County,4305,3099,4458,6448,3256,4234,32,0,0,23,0,0,55,clustered_dist,non-random_sampling,1683,503,759,0,206,0,1235,376,488,0,75,0,10,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,23,0,0,18,0,0,41,clustered_dist,non-random_sampling,1694,508,755,0,201,0,1236,369,488,0,72,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,21,0,0,23,0,0,44,clustered_dist,non-random_sampling,1693,507,761,0,203,0,1242,372,488,0,78,0,9,8,1,0.009
