sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,53,0,0,104,clustered_dist,non-random_sampling,1684,842,756,0,196,0,1242,627,488,0,76,0,27,27,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,66,0,0,109,clustered_dist,non-random_sampling,1689,842,764,0,198,0,1253,625,488,0,74,0,36,10,1,0.007
Franklin County,4305,3099,4458,6448,3256,4234,60,0,0,49,0,0,109,clustered_dist,non-random_sampling,1683,841,759,0,204,0,1241,621,488,0,78,0,32,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,53,0,0,104,clustered_dist,non-random_sampling,1689,845,755,0,192,0,1250,625,488,0,74,0,44,43,1,0.029
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,56,0,0,108,clustered_dist,non-random_sampling,1696,846,762,0,204,0,1238,617,488,0,76,0,38,27,1,0.018
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,49,0,0,104,clustered_dist,non-random_sampling,1691,848,759,0,203,0,1239,622,488,0,77,0,24,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,58,0,0,55,0,0,113,clustered_dist,non-random_sampling,1690,843,763,0,203,0,1233,620,488,0,78,0,24,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,48,0,0,100,clustered_dist,non-random_sampling,1690,845,759,0,205,0,1248,624,488,0,75,0,39,38,1,0.026
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,57,0,0,112,clustered_dist,non-random_sampling,1689,842,761,0,205,0,1236,618,488,0,76,0,38,8,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,49,0,0,104,clustered_dist,non-random_sampling,1694,847,762,0,200,0,1240,618,488,0,74,0,27,25,1,0.017
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,57,0,0,112,clustered_dist,non-random_sampling,1689,840,753,0,206,0,1233,613,488,0,75,0,25,21,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,55,0,0,53,0,0,108,clustered_dist,non-random_sampling,1689,843,762,0,205,0,1235,609,488,0,78,0,35,4,1,0.003
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,46,0,0,97,clustered_dist,non-random_sampling,1683,838,756,0,199,0,1239,619,488,0,79,0,19,3,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,53,0,0,104,clustered_dist,non-random_sampling,1688,844,756,0,201,0,1237,620,488,0,73,0,16,16,1,0.011
Franklin County,4305,3099,4458,6448,3256,4234,56,0,0,46,0,0,102,clustered_dist,non-random_sampling,1691,845,765,0,197,0,1245,624,488,0,71,0,32,31,1,0.021
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,59,0,0,110,clustered_dist,non-random_sampling,1687,845,761,0,203,0,1234,614,488,0,76,0,38,37,1,0.025
Franklin County,4305,3099,4458,6448,3256,4234,54,0,0,58,0,0,112,clustered_dist,non-random_sampling,1681,842,759,0,204,0,1236,617,488,0,75,0,37,16,1,0.011
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,47,0,0,92,clustered_dist,non-random_sampling,1685,842,758,0,201,0,1240,625,488,0,78,0,31,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,57,0,0,51,0,0,108,clustered_dist,non-random_sampling,1692,843,761,0,204,0,1235,619,488,0,79,0,21,13,1,0.009
