sampling_region,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,CWD_distribution,sampling,AdultMaleHarvest,AdultMaleTested,YearlingMaleHarvest,YearlingMaleTested,FawnMaleHarvest,FawnMaleTested,AdultFemaleHarvest,AdultFemaleTested,YearlingFemaleHarvest,YearlingFemaleTested,FawnFemaleHarvest,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,47,0,0,92,clustered_dist,non-random_sampling,1689,508,759,0,206,0,1252,377,488,0,79,0,18,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,40,0,0,79,clustered_dist,non-random_sampling,1683,503,759,0,200,0,1246,374,488,0,72,0,11,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,50,0,0,93,clustered_dist,non-random_sampling,1688,507,763,0,202,0,1240,373,488,0,76,0,25,8,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,49,0,0,93,clustered_dist,non-random_sampling,1690,507,757,0,198,0,1246,377,488,0,75,0,11,11,1,0.012
Franklin County,4305,3099,4458,6448,3256,4234,50,0,0,48,0,0,98,clustered_dist,non-random_sampling,1683,508,760,0,206,0,1247,377,488,0,76,0,46,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,30,0,0,78,clustered_dist,non-random_sampling,1687,509,758,0,203,0,1246,374,488,0,71,0,30,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,36,0,0,79,clustered_dist,non-random_sampling,1692,507,762,0,199,0,1238,373,488,0,75,0,10,9,1,0.01
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,44,0,0,87,clustered_dist,non-random_sampling,1685,507,761,0,201,0,1238,373,488,0,77,0,21,12,1,0.014
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,46,0,0,90,clustered_dist,non-random_sampling,1689,505,760,0,201,0,1240,375,488,0,76,0,34,8,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,45,0,0,97,clustered_dist,non-random_sampling,1687,510,756,0,201,0,1238,372,488,0,73,0,25,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,52,0,0,90,clustered_dist,non-random_sampling,1686,503,763,0,206,0,1239,372,488,0,76,0,28,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,43,0,0,83,clustered_dist,non-random_sampling,1690,509,761,0,198,0,1248,374,488,0,75,0,26,2,1,0.002
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,47,0,0,91,clustered_dist,non-random_sampling,1688,506,760,0,199,0,1233,367,488,0,78,0,25,25,1,0.029
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,42,0,0,82,clustered_dist,non-random_sampling,1688,509,761,0,200,0,1245,373,488,0,77,0,14,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,48,0,0,45,0,0,93,clustered_dist,non-random_sampling,1688,508,754,0,201,0,1237,375,488,0,75,0,36,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,49,0,0,49,0,0,98,clustered_dist,non-random_sampling,1692,509,760,0,202,0,1240,375,488,0,77,0,29,26,1,0.029
Franklin County,4305,3099,4458,6448,3256,4234,52,0,0,47,0,0,99,clustered_dist,non-random_sampling,1687,508,761,0,205,0,1243,375,488,0,75,0,29,4,1,0.005
Franklin County,4305,3099,4458,6448,3256,4234,44,0,0,42,0,0,86,clustered_dist,non-random_sampling,1680,505,760,0,199,0,1237,372,488,0,76,0,16,1,1,0.001
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,39,0,0,84,clustered_dist,non-random_sampling,1695,509,758,0,200,0,1240,373,488,0,77,0,16,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,47,0,0,98,clustered_dist,non-random_sampling,1686,507,758,0,198,0,1245,375,488,0,76,0,37,8,1,0.009
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,46,0,0,91,clustered_dist,non-random_sampling,1680,507,758,0,207,0,1231,369,488,0,77,0,22,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,51,0,0,48,0,0,99,clustered_dist,non-random_sampling,1691,508,760,0,198,0,1237,370,488,0,73,0,20,10,1,0.011
Franklin County,4305,3099,4458,6448,3256,4234,45,0,0,47,0,0,92,clustered_dist,non-random_sampling,1685,501,756,0,203,0,1237,376,488,0,77,0,26,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,44,0,0,87,clustered_dist,non-random_sampling,1686,508,763,0,202,0,1247,371,488,0,73,0,21,21,1,0.024
Franklin County,4305,3099,4458,6448,3256,4234,39,0,0,48,0,0,87,clustered_dist,non-random_sampling,1691,510,756,0,191,0,1246,376,488,0,75,0,17,15,1,0.017
Franklin County,4305,3099,4458,6448,3256,4234,49,0,0,39,0,0,88,clustered_dist,non-random_sampling,1696,510,761,0,200,0,1250,378,488,0,77,0,28,22,1,0.025
Franklin County,4305,3099,4458,6448,3256,4234,38,0,0,39,0,0,77,clustered_dist,non-random_sampling,1689,505,755,0,204,0,1241,376,488,0,75,0,20,20,1,0.023
Franklin County,4305,3099,4458,6448,3256,4234,40,0,0,41,0,0,81,clustered_dist,non-random_sampling,1684,511,763,0,196,0,1235,373,488,0,73,0,23,0,0,0
Franklin County,4305,3099,4458,6448,3256,4234,43,0,0,46,0,0,89,clustered_dist,non-random_sampling,1690,508,758,0,205,0,1246,370,488,0,77,0,13,0,0,0
